テーブル名,項目名(物理名),データ型,桁,必須,PK
基本商品マスタ,User_Cd,NVARCHAR2,5,○,○
基本商品マスタ,Sku_Cd,NVARCHAR2,13,○,○
基本商品マスタ,ValidFlag,NVARCHAR2,1,○,
基本商品マスタ,Name,NVARCHAR2,100,○,
基本商品マスタ,StandardName,NVARCHAR2,20,--,
基本商品マスタ,Sname,NVARCHAR2,28,○,
基本商品マスタ,AName1,NVARCHAR2,25,○,
基本商品マスタ,AName2,NVARCHAR2,20,--,
基本商品マスタ,POSName,NVARCHAR2,40,--,
基本商品マスタ,Maker_Cd,NVARCHAR2,9,○,
基本商品マスタ,ModelNo,NVARCHAR2,20,--,
基本商品マスタ,TaxType,NVARCHAR2,1,○,
基本商品マスタ,Tax_Cd,NVARCHAR2,1,○,
基本商品マスタ,MakerPrice,NUMBER,11.2,○,
基本商品マスタ,OrderStopType,NVARCHAR2,1,○,
基本商品マスタ,OrderStopTypeDate,DATE,--,○,
基本商品マスタ,GuaranteeType,NVARCHAR2,1,○,
基本商品マスタ,SubconType,NVARCHAR2,1,○,
基本商品マスタ,ItemType,NVARCHAR2,1⇒4,○,
基本商品マスタ,OrderLimitType,NVARCHAR2,1,○,
基本商品マスタ,SuppliesType,NVARCHAR2,1,○,
基本商品マスタ,AutoDiscountType,NVARCHAR2,1,○,
基本商品マスタ,Capacity,NUMBER,9,○,
基本商品マスタ,CapacityUnit,NVARCHAR2,2,○,
基本商品マスタ,Alcohol_Cd,NVARCHAR2,2,○,
基本商品マスタ,AlcoholLevel,NUMBER,4.2,○,
基本商品マスタ,SkuSeason_Cd,NVARCHAR2,4,○,
基本商品マスタ,SkuAttribute1_Cd,NVARCHAR2,4,○,
基本商品マスタ,SkuAttribute2_Cd,NVARCHAR2,4,○,
基本商品マスタ,SkuAttribute3_Cd,NVARCHAR2,4,○,
基本商品マスタ,ReferenceCapacity,NUMBER,9,○,
基本商品マスタ,Mark_Cd,NVARCHAR2,4,○,
基本商品マスタ,Color_Cd,NVARCHAR2,4,○,
基本商品マスタ,Size_Cd,NVARCHAR2,4,○,
基本商品マスタ,Width,NUMBER,6,○,
基本商品マスタ,Height,NUMBER,6,○,
基本商品マスタ,Depth,NUMBER,6,○,
基本商品マスタ,ShelfLife,NUMBER,3,○,
基本商品マスタ,PricingType,NVARCHAR2,1,○,
基本商品マスタ,ShapeType,NVARCHAR2,1,○,
基本商品マスタ,ItemStockType,NVARCHAR2,1,○,
基本商品マスタ,ReturnType,NVARCHAR2,1,○,
基本商品マスタ,TeikanType,NVARCHAR2,1,○,
基本商品マスタ,SubSku_Cd,NVARCHAR2,13,○,
基本商品マスタ,OrderStartDate,DATE,--,○,
基本商品マスタ,OrderEndDate,DATE,--,○,
基本商品マスタ,SaleStartDate,DATE,--,○,
基本商品マスタ,SaleEndDate,DATE,--,○,
基本商品マスタ,WeeklySalesQty,NUMBER,7.2,○,
基本商品マスタ,JANType,NVARCHAR2,2,○,
基本商品マスタ,ItemMedicineType,NVARCHAR2,10,○,
基本商品マスタ,RsvChar1,NVARCHAR2,10,○,
基本商品マスタ,RsvChar2,NVARCHAR2,10,○,
基本商品マスタ,RsvChar3,NVARCHAR2,10,○,
基本商品マスタ,RsvChar4,NUMBER,10,○,
基本商品マスタ,RsvNum1,NUMBER,10,--,
基本商品マスタ,RsvNum2,NUMBER,10,○,
基本商品マスタ,RsvNum3,NUMBER,10,○,
基本商品マスタ,RsvNum4,DATE,--,--,
基本商品マスタ,RsvDate1,TIMESTAMP,6,,
